Mese,Giorno,Prezzo Medio di Chiusura,STD,N,P10,P90,DOY
5,20,4186.818359375,1241.3608148619128,6.0,2905.9200439453125,5624.294921875,141
5,21,4226.95,1351.9227324828066,5.0,2898.020068359375,5635.32998046875,142
5,22,4230.673876953125,1348.2888842006653,5.0,2895.9419921875,5628.009765625,143
5,23,4402.445947265625,1167.9859532431806,5.0,3282.843994140625,5588.82783203125,144
5,24,4076.91005859375,881.2473502539576,5.0,3272.22802734375,4861.65205078125,145
5,25,4106.046549479167,111.78825511992274,3.0,4013.23994140625,4180.75986328125,146
5,26,3862.7626342773438,584.5678591362873,4.0,3311.5910400390626,4202.61220703125,147
5,27,4329.197509765625,1190.6959340203277,4.0,3372.76298828125,5405.3419921875,148
5,28,4246.163916015625,1358.9271777000904,5.0,2893.325927734375,5655.5458984375,149
5,29,4251.612548828125,1570.8495202258644,4.0,2861.40703125,5718.60400390625,150
5,30,4535.387512207031,1359.3513623693514,4.0,3213.8580810546873,5708.826953125,151
5,31,4085.387451171875,1034.4118594708243,4.0,3166.08701171875,4948.205859375,152
6,1,3895.0050048828125,561.9809039313786,4.0,3369.37998046875,4215.326025390625,153
6,2,4336.814013671875,1022.2339410489019,5.0,3519.219970703125,5274.51201171875,154
6,3,4237.0800374348955,1231.8252229777834,6.0,2933.6600341796875,5626.885009765625,155
6,4,4281.53203125,1362.7439163555262,5.0,2926.90205078125,5699.02197265625,156
6,5,4317.439892578125,1340.9953352746531,5.0,2973.2619140625,5705.191796875,157
6,6,4520.418017578125,1215.5859946590233,5.0,3354.666064453125,5741.39990234375,158
6,7,4175.010107421875,877.3965693380007,5.0,3388.276123046875,4915.2021484375,159
6,8,3967.3374633789062,495.44678777547773,4.0,3497.4039306640625,4273.929052734375,160
6,9,4349.85791015625,1022.0019408036732,5.0,3531.435986328125,5323.071875000001,161
6,10,4269.418375651042,1227.6202852162169,6.0,3038.4349365234375,5699.800048828125,162
6,11,4306.564013671875,1397.2923312080886,5.0,2932.272021484375,5763.4720703125,163
6,12,4345.273974609375,1404.9075474900815,5.0,2944.428076171875,5795.5677734375,164
6,13,4484.197998046875,1246.9061025106648,5.0,3234.835888671875,5759.67822265625,165
6,14,4136.3599609375,931.2918062853385,5.0,3226.37998046875,5007.99599609375,166
6,15,3882.25244140625,606.0930735930218,4.0,3283.61005859375,4372.06484375,167
6,16,4291.581982421875,1095.8288388099525,5.0,3341.552001953125,5383.70185546875,168
6,17,4225.968343098958,1262.4499610191715,6.0,3001.5799560546875,5727.97509765625,169
6,18,4333.488037109375,1374.8296747911975,5.0,2996.78603515625,5783.333984375,170
6,19,3012.0999755859375,121.11327019765083,2.0,2943.5879638671877,3080.6119873046873,171
6,20,4695.974914550781,1335.4068034056875,4.0,3384.5389404296875,5819.4388671875,172
6,21,4154.07001953125,917.543179815736,5.0,3276.1919921875,5025.048046875,173
6,22,3876.52001953125,571.9577935188984,4.0,3310.46904296875,4341.255078125,174
6,23,4308.47197265625,1072.583564734926,5.0,3397.066015625,5354.433984375,175
6,24,4285.6601155598955,1270.9761450015708,6.0,2997.840087890625,5770.025146484375,176
6,25,4368.660009765625,1409.501654747613,5.0,2983.93193359375,5843.016015625,177
6,26,4374.11396484375,1443.808042920422,5.0,2951.888037109375,5875.77197265625,178
6,27,4571.876025390625,1284.0263543506962,5.0,3314.99599609375,5896.98994140625,179
6,28,4178.251953125,915.468007439203,5.0,3293.676025390625,5027.03193359375,180
6,29,3890.0774536132812,611.870614053029,4.0,3282.9170166015624,4365.047900390625,181
6,30,4367.7,1154.6294872341698,5.0,3374.3259765625,5503.1220703125,182
7,1,4316.4266357421875,1295.6518642377691,6.0,3040.0950927734375,5836.5498046875,183
7,2,4438.35791015625,1432.9563917630098,5.0,3035.810009765625,5940.055859375,184
7,3,4816.945007324219,1426.4419919267016,4.0,3433.7510009765624,6056.65107421875,185
