Mese,Giorno,Prezzo Medio di Chiusura,STD,N,P10,P90,DOY
1,2,10.462000012397766,13.488768940381492,2.0,2.831600022315979,18.092400002479554,2
1,3,7.746750220656395,8.730286666431176,4.0,0.80029998421669,16.395000457763672,3
1,4,4.031333406766255,5.395166983759397,3.0,0.8552000045776367,8.412000179290771,4
1,5,3.990999937057495,5.378569680427572,3.0,0.8124000072479248,8.36199984550476,5
1,6,10.160000165303549,9.38014403706398,3.0,2.6440000534057617,17.65200023651123,6
1,7,14.319999694824219,5.7558487672747685,2.0,11.063999938964844,17.575999450683593,7
1,8,5.589999973773956,6.293250335701534,2.0,2.0299999833106996,9.149999964237214,8
1,9,0.9699999690055847,0.29698481775261903,2.0,0.8019999861717224,1.137999951839447,9
1,10,5.248750030994415,4.988337055929118,4.0,0.881499981880188,9.79099998474121,10
1,11,3.9929999113082886,5.299209815376287,3.0,0.8532000303268432,8.301999735832215,11
1,12,3.98933345079422,5.292691541404927,3.0,0.8823999881744384,8.284000301361084,12
1,13,5.653333326180776,4.5479921215203625,3.0,1.946000051498413,9.201999855041503,13
1,14,9.464999675750732,0.7283197958042626,2.0,9.052999782562257,9.876999568939208,14
1,15,10.9399995803833,0.0,1.0,10.9399995803833,10.9399995803833,15
1,16,6.1249998807907104,7.233702216437979,2.0,2.0329999685287476,10.216999793052674,16
1,17,3.931999981403351,5.10784607140852,3.0,0.9728000164031982,8.063999938964844,17
1,18,3.967666586240133,5.215504097645094,3.0,0.9501999855041504,8.18539981842041,18
1,19,3.9503334164619446,5.213647666822219,3.0,0.898799991607666,8.178000211715698,19
1,20,5.426500022411346,6.411337207271963,2.0,1.7997000098228455,9.053300034999847,20
1,21,11.9399995803833,2.884995613293148,2.0,10.307999610900879,13.571999549865723,21
1,22,7.504999935626984,9.058037742245002,2.0,2.3810000061988834,12.628999865055084,22
1,23,5.15966675678889,7.197733152960634,3.0,0.9411999940872192,10.998000216484071,23
1,24,6.262500047683716,6.248239070533712,4.0,0.9360000133514405,12.206999969482423,24
1,25,3.9366666873296103,5.182589490470245,3.0,0.8880000114440918,8.144000053405762,25
1,26,3.9396667083104453,5.181026022585535,3.0,0.8652000188827514,8.154000067710877,26
1,27,7.721333225568135,6.123726313194703,3.0,2.6251999855041506,11.941999816894532,27
1,28,11.514999866485596,2.213244306035843,2.0,10.26299982070923,12.766999912261962,28
1,29,6.884999930858612,8.167083204693448,2.0,2.2649999976158144,11.50499986410141,29
1,30,4.770666738351186,6.524791389512814,3.0,0.8656000137329102,10.08800015449524,30
1,31,6.285249978303909,6.233818789656837,4.0,0.9187000155448914,12.203999996185303,31
2,1,4.0333332022031145,5.156523095100138,3.0,0.9040000200271606,8.24799964427948,32
2,2,4.0273332595825195,5.133234876029992,3.0,0.9435999870300293,8.213999843597412,33
2,3,8.139999945958456,6.3943178752666405,3.0,2.819999885559082,12.756000137329101,34
2,4,11.825000286102295,2.6799346737230323,2.0,10.309000301361085,13.341000270843505,35
2,5,7.504999935626984,8.944900765151086,2.0,2.444999945163727,12.564999926090241,36
