date,close,fft_recon,fft_forecast
2022-01-03,178.44314575195312,178.44314575195312,
2022-01-04,176.1784210205078,0.0,
2022-01-05,171.49205017089844,0.0,
2022-01-06,168.62930297851562,0.0,
2022-01-07,168.7959747314453,0.0,
2022-01-10,168.8155975341797,0.0,
2022-01-11,171.64894104003906,0.0,
2022-01-12,172.09010314941406,0.0,
2022-01-13,168.8155975341797,0.0,
2022-01-14,169.67835998535156,0.0,
2022-01-18,166.472412109375,0.0,
2022-01-19,162.97238159179688,0.0,
2022-01-20,161.28607177734375,0.0,
2022-01-21,159.22726440429688,0.0,
2022-01-24,158.45269775390625,0.0,
2022-01-25,156.64878845214844,0.0,
2022-01-26,156.56053161621094,0.0,
2022-01-27,156.09974670410156,0.0,
2022-01-28,166.99203491210938,0.0,
2022-01-31,171.35482788085938,0.0,
2022-02-01,171.18814086914062,0.0,
2022-02-02,172.39405822753906,0.0,
2022-02-03,169.51165771484375,0.0,
2022-02-04,169.2269744873047,0.0,
2022-02-07,168.51036071777344,0.0,
2022-02-08,171.62225341796875,0.0,
2022-02-09,173.04563903808594,0.0,
2022-02-10,168.96194458007812,0.0,
2022-02-11,165.5457763671875,0.0,
2022-02-14,165.7814178466797,0.0,
2022-02-15,169.61961364746094,0.0,
2022-02-16,169.38406372070312,0.0,
2022-02-17,165.7814178466797,0.0,
2022-02-18,164.23037719726562,0.0,
2022-02-22,161.30503845214844,0.0,
2022-02-23,157.13302612304688,0.0,
2022-02-24,159.75404357910156,0.0,
2022-02-25,161.82534790039062,0.0,
2022-02-28,162.09034729003906,0.0,
2022-03-01,160.20562744140625,0.0,
2022-03-02,163.50393676757812,0.0,
2022-03-03,163.1800079345703,0.0,
2022-03-04,160.1761474609375,0.0,
2022-03-07,156.37718200683594,0.0,
2022-03-08,154.55130004882812,0.0,
2022-03-09,159.96017456054688,0.0,
2022-03-10,155.61146545410156,0.0,
2022-03-11,151.89102172851562,0.0,
2022-03-14,147.85643005371094,0.0,
2022-03-15,152.244384765625,0.0,
2022-03-16,156.66184997558594,0.0,
2022-03-17,157.67295837402344,0.0,
2022-03-18,160.9712677001953,0.0,
2022-03-21,162.3456268310547,0.0,
2022-03-22,165.72251892089844,0.0,
2022-03-23,167.08697509765625,0.0,
2022-03-24,170.8761749267578,0.0,
2022-03-25,171.51422119140625,0.0,
2022-03-28,172.37811279296875,0.0,
2022-03-29,175.6764373779297,0.0,
2022-03-30,174.50827026367188,0.0,
2022-03-31,171.40626525878906,0.0,
2022-04-01,171.1117706298828,0.0,
2022-04-04,175.16598510742188,0.0,
2022-04-05,171.84800720214844,0.0,
2022-04-06,168.67726135253906,0.0,
2022-04-07,168.9815673828125,0.0,
2022-04-08,166.9691925048828,0.0,
2022-04-11,162.70883178710938,0.0,
2022-04-12,164.58380126953125,0.0,
2022-04-13,167.2734832763672,0.0,
2022-04-14,162.25726318359375,0.0,
2022-04-18,162.04132080078125,0.0,
2022-04-19,164.32852172851562,0.0,
2022-04-20,164.1616668701172,0.0,
2022-04-21,163.36654663085938,0.0,
2022-04-22,158.8214569091797,0.0,
2022-04-25,159.8914794921875,0.0,
2022-04-26,153.92303466796875,0.0,
2022-04-27,153.69729614257812,0.0,
2022-04-28,160.63754272460938,0.0,
2022-04-29,154.75743103027344,0.0,
2022-05-02,155.061767578125,0.0,
2022-05-03,156.55386352539062,0.0,
2022-05-04,162.973876953125,0.0,
2022-05-05,153.89356994628906,0.0,
2022-05-06,154.62106323242188,0.0,
2022-05-09,149.4893341064453,0.0,
2022-05-10,151.89788818359375,0.0,
2022-05-11,144.02333068847656,0.0,
2022-05-12,140.14993286132812,0.0,
2022-05-13,144.6230010986328,0.0,
2022-05-16,143.07955932617188,0.0,
2022-05-17,146.71701049804688,0.0,
2022-05-18,138.43936157226562,0.0,
2022-05-19,135.0279998779297,0.0,
2022-05-20,135.26394653320312,0.0,
2022-05-23,140.69064331054688,0.0,
2022-05-24,137.9871063232422,0.0,
2022-05-25,138.14439392089844,0.0,
2022-05-26,141.34930419921875,0.0,
2022-05-27,147.1102294921875,0.0,
2022-05-31,146.32376098632812,0.0,
2022-06-01,146.1959686279297,0.0,
2022-06-02,148.65370178222656,0.0,
2022-06-03,142.9222412109375,0.0,
2022-06-06,143.66937255859375,0.0,
2022-06-07,146.1959686279297,0.0,
2022-06-08,145.45863342285156,0.0,
2022-06-09,140.22857666015625,0.0,
2022-06-10,134.8116912841797,0.0,
2022-06-13,129.65049743652344,0.0,
2022-06-14,130.51560974121094,0.0,
2022-06-15,133.14048767089844,0.0,
2022-06-16,127.86124420166016,0.0,
2022-06-17,129.3358917236328,0.0,
2022-06-21,133.572998046875,0.0,
2022-06-22,133.06182861328125,0.0,
2022-06-23,135.93243408203125,0.0,
2022-06-24,139.26515197753906,0.0,
