Mese,Giorno,Prezzo Medio di Chiusura,STD,N,P10,P90,DOY
1,2,45.88500118255615,41.44353022562643,2.0,22.441000175476074,69.32900218963623,2
1,3,30.225000023841858,33.52258256441526,4.0,9.299999952316284,61.481999778747564,3
1,4,16.09250020980835,7.018795931486072,4.0,9.480999946594238,21.810000610351562,4
1,5,15.964999794960022,7.49621018562053,4.0,9.217999982833863,22.307999992370608,5
1,6,30.649999737739563,30.99180226522107,4.0,9.501999998092652,60.20599899291993,6
1,7,37.183332443237305,28.723098270638943,3.0,18.247999572753905,60.991998291015626,7
1,8,36.70000139872233,27.63685936466276,3.0,18.376000213623048,59.62400283813477,8
1,9,11.444999694824219,6.993285634351226,2.0,7.488999938964843,15.400999450683594,9
1,10,26.812500715255737,27.36975969405487,4.0,9.639999866485596,52.11900177001954,10
1,11,16.62000000476837,7.739125812425846,4.0,9.890000104904175,23.21800003051758,11
1,12,16.667500019073486,7.82658453297398,4.0,9.922999954223634,23.3540002822876,12
1,13,28.3625009059906,25.558343148944747,4.0,9.675000095367432,53.13600234985353,13
1,14,35.61333465576172,26.61321361617873,3.0,17.792000198364256,57.71200294494629,14
1,15,46.88999938964844,30.05203820042827,2.0,29.889999389648438,63.88999938964844,15
1,16,42.88499927520752,37.271596440268176,2.0,21.80100040435791,63.96899814605713,16
1,17,31.743332068125408,34.97593464229294,3.0,8.934000015258789,60.69399719238282,17
1,18,12.756666660308838,5.122170631285195,3.0,8.514000129699706,16.11399974822998,18
1,19,16.172500491142273,8.191057962937183,4.0,9.07900013923645,23.668000793457033,19
1,20,15.993333339691162,9.732940729318537,3.0,8.539999961853027,23.99600009918213,20
1,21,37.52666632334391,31.404570275356654,3.0,16.019999694824218,63.65199966430664,21
1,22,42.350001653035484,30.81919803436217,3.0,20.59600067138672,68.01200256347656,22
1,23,34.563334465026855,38.786350442405,3.0,9.370000076293945,66.65000267028809,23
1,24,29.037500739097595,33.538724002152534,4.0,8.933999872207641,60.311002349853524,24
1,25,18.242499709129333,12.584133688520978,4.0,8.971999979019165,30.298999404907228,25
1,26,17.927499771118164,12.216906883872221,4.0,8.892999839782714,29.663999366760258,26
1,27,33.567500591278076,31.160265728966614,4.0,8.969000053405761,64.50800170898438,27
1,28,42.86666774749756,34.33205147830276,3.0,17.3,71.3160026550293,28
1,29,44.01000086466471,32.25459609990291,3.0,20.70800018310547,70.84400177001953,29
1,30,35.11000029246012,40.20632243398757,3.0,9.243999862670899,68.32400093078614,30
1,31,30.017499566078186,35.155745078092956,4.0,9.559000158309937,62.56999855041505,31
2,1,18.172499656677246,11.073563890229185,4.0,9.999999809265137,28.67099933624268,32
2,2,17.58750009536743,9.537342280365781,4.0,10.28899974822998,26.820000457763676,33
2,3,34.08999943733215,34.632851470329186,4.0,9.621999835968017,68.14599857330323,34
2,4,49.60666688283285,47.92103464450494,3.0,16.76199951171875,89.47400131225587,35
2,5,50.70999972025553,44.711845935545526,3.0,20.1859992980957,87.89800033569337,36
2,6,47.15333334604899,55.947656944109674,3.0,11.022000503540038,93.39799919128419,37
2,7,38.9399995803833,48.36409548856952,4.0,9.724999809265137,84.6749990463257,38
2,8,20.482499837875366,12.419101579621827,4.0,9.699000072479247,32.587999534606936,39
2,9,21.092499256134033,13.258185064441442,4.0,9.72599983215332,34.032998466491705,40
2,10,43.355000734329224,50.34336192781358,4.0,9.325000286102295,92.3650012969971,41
2,11,52.95333449045817,52.6296834547188,3.0,17.126000213623048,96.71800231933594,42
2,12,58.11666615804037,51.44668042140762,3.0,26.421999359130858,100.29399948120118,43
2,13,49.843334674835205,59.5150701171508,3.0,10.890000152587891,99.13000297546387,44
2,14,41.70750117301941,52.078197595103845,4.0,10.432000255584716,90.96900272369386,45
2,15,16.5633331934611,7.925814407139401,3.0,10.921999740600587,23.161999893188476,46
2,16,18.990000247955322,8.550707673112145,4.0,10.988000106811523,26.82000026702881,47
2,17,16.016666730244953,9.666914287686344,3.0,9.713999938964843,24.01800003051758,48
2,18,53.60333442687988,61.90784285309933,3.0,13.850000381469727,104.73000221252443,49
2,19,70.52999877929688,58.73228751901972,2.0,37.305999755859375,103.75399780273438,50
2,20,64.83499813079834,58.59793685295852,2.0,31.686999320983887,97.9829969406128,51
2,21,44.18666617075602,50.016428715776804,3.0,11.32400016784668,85.62799873352051,52
2,22,17.607499837875366,9.662847918719233,4.0,8.995999622344971,26.677000045776367,53
2,23,17.079999923706055,9.161724482740144,4.0,8.848000144958496,25.61599979400635,54
2,24,34.24749994277954,38.440978631634515,4.0,9.21200008392334,71.39300003051758,55
2,25,41.0899985631307,40.965494462657,3.0,13.968000030517578,75.06399688720704,56
2,26,45.58999888102213,37.8630111494198,3.0,23.62799949645996,76.22799797058106,57
2,27,39.10999902089437,40.39417092861767,3.0,11.329999923706055,72.72199745178223,58
2,28,32.25749969482422,35.811755322924085,4.0,9.043000221252441,66.76999874114992,59
2,29,25.079999923706055,0.0,1.0,25.079999923706055,25.079999923706055,60
3,1,17.4025000333786,8.815544365556594,4.0,9.037000131607055,24.89400005340576,61
3,2,14.836666584014893,8.598106139988861,3.0,8.78799991607666,21.9959997177124,62
3,3,31.669999599456787,35.12555197847288,4.0,9.232999992370605,65.4709987640381,63
3,4,36.03250050544739,32.86138569345407,4.0,14.884000301361084,66.49900093078614,64
3,5,45.96333249409994,38.24951773633597,3.0,23.837999725341795,76.89399795532226,65
3,6,38.29999955495199,37.59019514807005,3.0,11.855999755859376,69.59999923706054,66
3,7,32.69000053405762,35.71781171783598,4.0,9.128999710083008,67.37500228881837,67
3,8,16.93250036239624,8.686623725143347,4.0,9.003000068664551,24.984000778198244,68
3,9,14.53333330154419,8.65311714169619,3.0,8.481999969482422,21.738000106811523,69
3,10,30.087499260902405,31.72987776641125,4.0,8.705999898910523,60.89099807739259,70
3,11,35.380000829696655,29.278391601039278,4.0,15.578000354766846,62.65400199890138,71
3,12,45.090000788370766,33.41238306220158,3.0,25.144000625610353,72.30400123596192,72
3,13,37.496667544047035,37.4718661454034,3.0,11.295999908447266,68.69600219726563,73
3,14,32.26499950885773,36.70850705726874,4.0,8.672999906539918,67.69699859619142,74
3,15,17.237500309944153,9.298055028280976,4.0,8.761000204086304,25.800000572204592,75
3,16,15.12666686375936,9.276542444403745,3.0,8.742000007629395,22.846000480651856,76
3,17,33.18999934196472,36.84715663509489,4.0,9.211999988555908,68.70799865722657,77
3,18,36.172499656677246,32.24451292942155,4.0,16.16799964904785,65.92299957275392,78
3,19,44.73999913533529,35.81975375539718,3.0,23.90399932861328,73.74399871826172,79
3,20,40.013333002726235,41.84962857142417,3.0,11.377999877929687,74.8259994506836,80
3,21,34.12249970436096,38.496805835285095,4.0,9.691999912261963,71.01899929046633,81
3,22,17.47000002861023,8.0410237796367,4.0,9.728000164031982,24.207999610900877,82
3,23,14.923333485921225,7.616143066700706,3.0,9.3,21.244000244140626,83
3,24,35.05499982833862,41.51472396424348,4.0,9.756999969482422,74.28899974823,84
3,25,39.140000104904175,38.57161729326148,4.0,15.853000164031982,74.90300006866457,85
3,26,46.58333269755045,39.59132471417367,3.0,23.04199981689453,78.80199890136718,86
3,27,40.87999884287516,43.40545031782936,3.0,11.33400001525879,76.97399711608887,87
3,28,32.56999969482422,36.058097704048244,4.0,9.626000022888183,66.99799900054933,88
3,29,14.716666539510092,6.769802691853982,3.0,9.416000175476075,20.22399959564209,89
3,30,14.690000216166178,6.980337322167265,3.0,9.295999717712402,20.40800075531006,90
3,31,32.46750044822693,35.162221407819466,4.0,10.033999729156495,66.06700134277345,91
4,1,36.110000133514404,32.66520791723768,4.0,16.53900012969971,66.19700012207032,92
4,2,55.08499813079834,45.77102027381827,2.0,29.19299907684326,80.97699718475342,93
4,3,38.22666645050049,39.94145777056136,3.0,11.244000244140626,71.41999893188476,94
4,4,29.86750054359436,29.990664383306754,4.0,10.234000301361084,58.55100135803224,95
4,5,17.06749999523163,7.483525650578501,4.0,9.753000116348266,23.29600009918213,96
4,6,14.786666870117188,7.746111036827768,3.0,9.072000122070312,21.216000366210938,97
4,7,37.85999870300293,34.98715557855353,3.0,14.852000045776368,66.85199699401856,98
4,8,34.107499837875366,29.231343110071162,4.0,15.789999866485596,61.14699974060059,99
4,9,46.28666750590006,39.60234492021115,3.0,23.055999755859375,78.41600189208985,100
4,10,39.799998919169106,42.831741841955626,3.0,11.196000289916991,75.35599708557129,101
